procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 38991360 574944 132072688    0    0     1    82    0    0  1  2 97  0
 3  0      0 38989484 574944 132074056    0    0     0  2720 108574 71485  1  4 95  0
 2  0      0 38988608 574944 132075408    0    0     0  2852 109990 73088  1  4 95  0
 1  0      0 38987508 574944 132076832    0    0     0  2876 112175 76155  1  3 95  0
 1  0      0 38986360 574944 132078256    0    0     0  2884 112092 75245  2  3 95  0
 1  0      0 38984600 574944 132079632    0    0     0  2916 106164 69132  1  3 96  0
 1  0      0 38984248 574944 132080992    0    0     0  2940 115182 78396  1  4 95  0
 0  0      0 38982660 574944 132082496    0    0     0  2872 107951 71337  1  3 96  0
 2  0      0 38955100 574944 132094448    0    0     0  2764 108485 71526  3  4 93  0
 2  0      0 38912312 574944 132129808    0    0     0  3116 112430 73456  4  4 92  0
 3  0      0 38872284 574944 132165696    0    0     0  2940 117701 81286  4  4 91  0
 1  0      0 38829780 574944 132203504    0    0     0  3036 114223 76268  4  4 91  0
 1  0      0 38788036 574944 132240224    0    0     0  2832 113099 75523  4  4 91  0
 2  0      0 38747496 574944 132276944    0    0     0  2768 111926 73691  5  4 91  0
 2  0      0 38707328 574944 132314768    0    0     0  2780 110372 71479  5  4 92  0
 3  0      0 38664944 574944 132352800    0    0     0  2788 107389 69329  4  4 92  0
 1  0      0 38623752 574944 132391192    0    0     0  3044 112418 74526  4  4 91  0
 1  0      0 38578772 574944 132429176    0    0     0  2940 111841 72875  4  4 91  0
 1  0      0 38538688 574944 132466784    0    0     0  2864 106237 67135  4  3 92  0
 2  0      0 38497396 574944 132504120    0    0     0  2820 111667 74279  5  4 92  0
 3  0      0 38456104 574944 132542816    0    0     0  3016 115617 79233  5  4 91  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 38412836 574944 132582560    0    0     0  3872 118102 81608  5  4 91  0
 3  0      0 38373172 574944 132618768    0    0     0  3040 119660 83845  5  4 91  0
 1  0      0 38331920 574944 132657848    0    0     0  2980 118252 82939  4  4 91  0
 5  0      0 38241216 574944 132699064    0    0     0  6660 121580 83921  6  4 90  0
 4  0      0 38196080 574944 132740016    0    0     0  2996 129802 98221  5  4 91  0
 2  0      0 38152184 574948 132779728    0    0     0  3384 128054 94894  5  5 91  0
 4  0      0 38108244 574948 132819328    0    0     0  2756 121040 86975  5  5 90  0
 2  0      0 38066256 574948 132858320    0    0     0  2808 121290 85403  5  4 91  0
 4  0      0 38024204 574948 132898000    0    0     0  3000 129857 99112  5  5 91  0
 4  0      0 37983284 574948 132936152    0    0     0  2584 124557 93306  4  4 91  0
 3  0      0 37943100 574948 132973664    0    0     0  3068 130036 97838  5  5 91  0
 3  0      0 37900204 574948 133013040    0    0     0  3004 129686 99529  5  5 91  0
 4  0      0 37858400 574948 133051472    0    0     0  2936 124594 91552  5  4 91  0
 1  0      0 37780520 574948 133090080    0    0     0  3060 119255 83710  5  4 91  0
 1  0      0 37735880 574948 133131240    0    0     0  3044 119134 84112  4  4 92  0
 5  0      0 37693000 574948 133170784    0    0     0  3436 126602 92231  5  4 91  0
 3  0      0 37647500 574948 133212208    0    0     0  3376 125514 91611  5  5 90  0
 1  0      0 37603100 574948 133252944    0    0     0  3172 126622 93980  5  5 91  0
 2  0      0 37560600 574948 133290512    0    0     0  3608 131009 96951  5  5 90  0
 1  0      0 37523904 574948 133324760    0    0     0  3300 127105 93261  5  5 90  0
 2 23      0 37479404 574948 133363984    0    0     0 297024 126789 92390  5  5 87  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  3      0 37471964 574948 133402072    0    0     0 61316 127892 96190  5  4 79 12
 1  2      0 37429316 574948 133441008    0    0     0 61420 115637 84237  5  4 86  5
 1  2      0 37368200 574948 133480296    0    0     0 69808 33291 2770  3  1 90  6
 0  2      0 37328624 574948 133501352    0    0     0 36776 33512 2627  2  0 92  6
 1  3      0 37307444 574948 133533952    0    0     0 94780 150305 131216  5  7 75 13
 1  2      0 37268640 574948 133573760    0    0     0 70032 124437 95087  5  5 86  5
 1  2      0 37218652 574948 133611272    0    0     0 78768 35193 2770  3  1 90  6
 1  3      0 37157612 574948 133651120    0    0     0 69824 34435 2610  3  0 90  6
 1  2      0 37097844 574948 133690680    0    0     0 69808 34920 2804  3  0 91  6
 1  2      0 37038356 574948 133730192    0    0     0 70016 35227 2741  3  0 91  6
 1  3      0 36981444 574948 133768352    0    0     0 69824 34397 2460  3  0 90  6
 1  2      0 36923384 574948 133807024    0    0     0 70020 35179 3097  3  0 90  7
 1  2      0 36866468 574948 133845224    0    0     0 78560 35199 2670  3  0 91  6
 0  3      0 36835864 574948 133858240    0    0     0 76528 36363 7970  1  1 90  8
 0  3      0 36817732 574948 133858240    0    0     0 67776 38480 9483  0  1 90  9
 0  3      0 36802316 574948 133858240    0    0     0 75760 38331 9890  0  1 90  9
 0  3      0 36785716 574948 133858240    0    0     0 67776 37839 9400  0  0 91  9
 4 26      0 36923668 574948 133870704    0    0     0 83952 170407 178099  6 11 60 23
 0  3      0 36929992 574948 133871392    0    0     0 50836 189873 196706  3  8 77 12
 1  3      0 36921272 574948 133871440    0    0     0 116136 48988 26246  0  1 90  9
 1  3      0 36904532 574948 133871440    0    0     0    84 34862 4131  0  0 93  7
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1      0 36909036 574956 133877008    0    0     8   540 62908 25461  1  3 93  4
 1  0      0 37093208 574956 133879952    0    0     0 10968 97448 77852  2  6 92  0
 0  0      0 37098416 574956 133882288    0    0     0  3156 166825 152889  2  7 90  0
 2  0      0 37096052 574956 133884512    0    0     0  3192 145421 119746  2  6 92  0
 0  0      0 37094068 574956 133887088    0    0     0  3428 143792 112738  2  6 92  0
 1  0      0 37093192 574956 133890064    0    0     0  3848 146722 117254  2  5 92  0
 2  0      0 37091464 574956 133892744    0    0     0  3596 143103 112138  2  6 92  0
 0  0      0 37090240 574956 133895168    0    0     0  3372 138885 108613  2  5 93  0
